,id,rank,FDR,sign,log_FDR,log_rank,srank,desc
cgd6_210-RA-p1,1,297.322461,0.0,-,3.0457574905606752,2.473227718891764,-297.322461,Oocyst wall protein 9
cgd2_2510-RA-p1,2,265.697548,0.0,-,3.0457574905606752,2.424387546525508,-265.697548,Glucose-methanol-choline oxidoreductase
cgd7_1800-RA-p1,3,183.273548,0.0,-,3.0457574905606752,2.2630997874574272,-183.273548,Chitin-binding type-2 domain containing protein
cgd6_4640-RA-p1,4,180.666278,0.0,-,3.0457574905606752,2.2568770975236867,-180.666278,Uncharacterized protein
cgd6_2920-RA-p1,5,144.724968,0.0,-,3.0457574905606752,2.160543462212412,-144.724968,Uncharacterized protein
cgd7_1930-RA-p1,6,129.289603,0.0,+,3.0457574905606752,2.111563601900673,129.289603,Creatinase/Aminopeptidase P/Spt16/cdc68p/PH-like domain-containing protein
cgd8_4230-RA-p1,7,114.18612399999999,0.0,-,3.0457574905606752,2.0576133312620626,-114.18612399999999,Glucose-methanol-choline oxidoreductase
cgd2_940-RA-p1,8,110.26295400000001,0.0,+,3.0457574905606752,2.042429623266727,110.26295400000001,Signal peptide plus transmembrane domain containing protein
cgd1_1240-RA-p1,9,100.547258,0.0,+,3.0457574905606752,2.0023702315542753,100.547258,Sec14 domain containing protein
cgd2_2580-RA-p1,10,98.64089,0.001,+,2.721246399047171,1.9940569820826586,98.64089,Uncharacterized protein
cgd7_180-RA-p1,11,98.11595799999999,0.001,-,2.721246399047171,1.9917396486410175,-98.11595799999999,Uncharacterized protein
cgd2_1160-RA-p1,12,95.255061,0.0016699999999999998,+,2.5900668766687054,1.978888059476075,95.255061,Eukaryotic translation initiation factor 3 subunit L
cgd1_370-RA-p1,13,94.42968499999999,0.0016699999999999998,-,2.5900668766687054,1.9751085409623448,-94.42968499999999,carboxypeptidase A with signal peptide region
cgd6_3520-RA-p1,14,92.010692,0.0016699999999999998,+,2.5900668766687054,1.963838296984632,92.010692,unspecified product
cgd7_3110-RA-p1,15,90.952794,0.0016699999999999998,-,2.5900668766687054,1.9588160447974639,-90.952794,S1/P1 nuclease
cgd8_630-RA-p1,16,81.677552,0.0025,+,2.4685210829577446,1.9121027128101995,81.677552,26S proteasome non-ATPase regulatory subunit 5
cgd2_1120-RA-p1,17,81.429564,0.0025,+,2.4685210829577446,1.9107821094471287,81.429564,molybdopterin synthase sulphurylase/Rhodanese-like domain containing protein
cgd7_4560-RA-p1,18,80.426355,0.0025,-,2.4685210829577446,1.905398386503641,-80.426355,Sushi/SCR/CCP/SbsA/lg-like domain containing protein
cgd7_3390-RA-p1,19,79.655175,0.0025,+,2.4685210829577446,1.9012139960936583,79.655175,Patatin-like phospholipase
cgd6_2900-RA-p1,20,78.144932,0.0025,-,2.4685210829577446,1.8929008175976298,-78.144932,Exostosin-like protein
cgd1_3550-RA-p1,21,77.471028,0.0025,-,2.4685210829577446,1.8891393188654624,-77.471028,Apple domain containing protein
cgd6_4840-RA-p1,22,75.763357,0.0025,-,2.4685210829577446,1.8794592095838605,-75.763357,"Serine protease, subtilase family, signal peptide"
cgd6_2720-RA-p1,23,74.687565,0.0025,+,2.4685210829577446,1.8732483005914657,74.687565,Uncharacterized protein
cgd8_3600-RA-p1,24,66.069244,0.00417,+,2.294992040666664,1.8199993374045529,66.069244,Uncharacterized protein
cgd6_300-RA-p1,25,64.015884,0.0044,-,2.275724130399211,1.806287747072201,-64.015884,Uncharacterized protein
cgd4_670-RA-p1,26,62.95267,0.00462,-,2.258060922270801,1.799014154486393,-62.95267,Oocyst wall protein 3
cgd1_140-RA-p1,27,62.000556,0.00519,+,2.215382707367125,1.7923955841216286,62.000556,Uncharacterized Secreted Protein (CpLSP gene family)
cgd6_4440-RA-p1,28,56.628316000000005,0.006790000000000001,-,2.114073660198569,1.7530336468678889,-56.628316000000005,Uncharacterized protein
cgd4_500-RA-p1,29,53.194570999999996,0.008620000000000001,-,2.0213630516155257,1.7258673107714566,-53.194570999999996,Oocyst wall protein 7
