Gene_ID,logFC,logCPM,LR,PValue,FDR,log_PValue,log_FDR,desc,mlog10FDR,logLR
Tb927.8.150,-0.2633843704669575,-0.025103340743342917,1.5115882329521773,0.21889689598995127,0.32089824212593776,0.6597603967874532,-0.49363266195434374,variant surface glycoprotein  degenerate,-0.6597603967874532,-0.17943350246710665
Tb927.8.270,0.07204370167043593,3.9157188039395097,1.0795677850538707,0.2987942655390364,0.4110027886066389,0.5246277417584171,-0.38615523147583597,variant surface glycoprotein  degenerate,-0.5246277417584171,-0.03324991647165652
Tb927.8.443,-1.224827992728364,2.3078137124958946,129.432273678171,5.4546229924059285e-30,1.4211313125955373e-28,29.26323526120322,-27.84736579138931,M4 ribosomal RNA,-29.26323526120322,-2.1120425802950415
Tb927.8.470,0.6152029962694929,0.7733074954134503,15.555866592205417,8.010269712030042e-05,0.00031123028052623767,4.096352860635572,-3.506918155815705,variant surface glycoprotein  degenerate,-4.096352860635572,-1.1918942099628564
Tb927.8.480,1.8635214427102602,5.096392481022183,346.92596552924067,1.9795318259738754e-77,1.9475547734004512e-75,76.70343751147493,-74.71051031930313,phosphatidic acid phosphatase protein  putative,-76.70343751147493,-2.5402368056479374
Tb927.8.490,0.46431899992713177,1.3648456148436217,14.04340292963874,0.0001786393962938473,0.0006434402627901018,3.7480227576185143,-3.1914917669334706,hypothetical protein,-3.7480227576185143,-1.1474723566893954
Tb927.8.500,0.22630774762876346,-0.25989233098819287,1.0762033578096493,0.29954844600272124,0.41155733269651223,0.5235329291004687,-0.38556965610340166,hypothetical protein,-0.5235329291004687,-0.031894342733637136
Tb927.8.510,1.878039905016388,-0.07138418285453263,70.0101113302307,5.900124436563608e-17,8.325862657774664e-16,16.229138828774293,-15.079570757449067,hypothetical protein,-16.229138828774293,-1.845160768268521
Tb927.8.520,0.16047816554602354,1.5881609951394038,1.8222778213317552,0.1770423805189367,0.2691021231115947,0.7519227595005473,-0.5700828758073614,hypothetical protein,-0.7519227595005473,-0.2606145894719659
Tb927.8.530,0.13878171910336384,6.0806683938874535,16.20974466998033,5.670169320896724e-05,0.00022785950350098834,4.246403972141809,-3.6423328532699624,leucine-rich repeat protein (LRRP)  point mutation,-4.246403972141809,-1.2097761740532071
Tb927.8.540,0.23751708518687528,7.679617236411348,62.13855512676607,3.2012210608425798e-15,3.9927286440597745e-14,14.494684334544033,-13.398730204554477,N-terminal region of Chorein  a TM vesicle-mediated sorter  putative,-14.494684334544033,-1.7933611506285154
Tb927.8.550,0.544222557936071,6.091575104697109,145.5655693085351,1.615530133960593e-33,4.825667400146833e-32,32.79168493681641,-31.316442614308425,peptide methionine sulfoxide reductase  putative,-32.79168493681641,-2.1630586632490036
Tb927.8.560,-0.042856120467861275,6.0030400909517745,1.4306448981668503,0.23165921960578828,0.3351031832854036,0.6351504110047855,-0.4748214466000651,hypothetical protein  conserved,-0.6351504110047855,-0.15553185045826257
Tb927.8.570,0.1869117096725751,6.730036015263762,34.72346764757094,3.80022796242272e-09,2.8243743900330294e-08,8.42019035079035,-7.549077735117268,proteasome regulatory non-ATP-ase subunit 10,-8.42019035079035,-1.5406230893444783
Tb927.8.580,0.11490919320818949,4.605536613012434,4.611415257335685,0.03175981165946069,0.0638874449866961,1.4981220816699876,-1.1945844800063345,MICOS complex subunit 40,-1.4981220816699876,-0.6638342321411683
Tb927.8.590,0.1309613904182805,6.5909510449277775,15.511831229778025,8.199046973231612e-05,0.0003176876669413262,4.0862366254602405,-3.4979996447362542,carnitine O-palmitoyltransferase  putative,-4.0862366254602405,-1.1906630709304449
Tb927.8.595,-0.0536100758388825,5.513978191965701,1.7874184794677834,0.18124101212687385,0.2743795979606476,0.7417435212010346,-0.5616481845925525,hypothetical protein,-0.7417435212010346,-0.25222624363415785
Tb927.8.600,0.07894108538834356,4.846387699742157,3.3487033631640286,0.0672579731233327,0.12108156415510785,1.1722562246606292,-0.916921977378956,Bucentaur or craniofacial development  putative,-1.1722562246606292,-0.5248766783112102
Tb8.NT.8,0.3345973480615167,3.6414681833534535,21.568918581656135,3.4133888812708316e-06,1.707179814098803e-05,5.466814230511557,-4.767720733039878,Noncoding RNA  putative,-5.466814230511557,-1.3338283710741312
Tb927.8.610,0.027867450691069155,6.387850372418372,0.8104381329200814,0.3679907482704122,0.4819606172534195,0.4341630998743518,-0.3169884480854369,hypothetical protein  conserved,-0.4341630998743518,0.09128013264388893
Tb927.8.620,0.011685429500331692,5.2971347546126335,0.08625989609354434,0.7689868861845673,0.832605548847982,0.11408106631851757,-0.07956069911098848,KREPA3,-0.11408106631851757,1.0641910693297323
Tb927.8.630,-0.05610120145302198,5.092535228121634,1.5755283905372908,0.20940597030344746,0.3093056797690831,0.6790109404562217,-0.509612104989633,lipoyltransferase  putative,-0.6790109404562217,-0.19742623343359375
Tb927.8.640,0.05674497613512231,4.094634698802816,0.8142651445349482,0.36686225641445924,0.48097894748812103,0.435496967105083,-0.31787393233683614,Dpy-30 motif containing protein  putative,-0.435496967105083,0.08923415523555595
Tb927.8.650,0.12211018664729799,8.614358885245085,15.86540249669066,6.801072668510581e-05,0.00026824864416393434,4.1674225847532105,-3.5714624644546853,cation-transporting ATPase  putative,-4.1674225847532105,-1.2004510943925863
Tb927.8.660,0.0961167884121953,4.411461863796591,3.8746223517242635,0.04902133710301782,0.09247535421056016,1.3096148471324358,-1.0339739965208452,Sel1 repeat  putative,-1.3096148471324358,-0.5882293794733455
Tb927.8.670,-0.22716561624809178,5.069023659696163,25.921933348454978,3.5550676486477125e-07,2.0523695834560797e-06,6.4491521307556265,-5.687744430303472,hypothetical protein  conserved,-6.4491521307556265,-1.4136673896080107
Tb927.8.680,-0.008545095250685428,3.7176927472457146,0.013830937214376782,0.9063806390095948,0.934441524394002,0.04268937991109914,-0.02944787077268255,KREPA5,-0.04268937991109914,1.8591483901552326
Tb8.NT.9,0.13810071528176454,2.5485128606079654,2.523713104656948,0.11214623848975276,0.18581027631128763,0.9502152885593026,-0.7309302708489875,Noncoding RNA  putative,-0.9502152885593026,-0.4020399828438118
Tb927.8.690,0.26114011187822944,5.666073835119442,52.44825492904093,4.417353430018767e-13,4.683326707380108e-12,12.354837851688792,-11.329445544916348,peptidyl-prolyl cis-trans isomerase/rotamase  putative,-12.354837851688792,-1.7197310428194525
Tb927.8.700,0.17714611849763257,6.370614133670598,29.297553708977564,6.20740069787515e-08,4.011571907138516e-07,7.207090219290082,-6.396685418694298,DNA repair and recombination helicase protein PIF7,-7.207090219290082,-1.4668313590897548
