,id,rank,FDR,sign,log_FDR,log_rank,srank,desc,iBAQ SPORO1,iBAQ SPORO2,iBAQ SPORO3,iBAQ WALL1,iBAQ WALL2,iBAQ WALL3,iBAQ SPORO4,iBAQ SPORO5,iBAQ SPORO6,iBAQ WALL4,iBAQ WALL5,iBAQ WALL6,log_sum,FDR2,Prediction,SP(Sec/SPI),OTHER,CS Position
cgd6_200-RA-p1,1,12541.852037,0.0,-,3.0457574905606752,4.098361672863069,-12541.852037,Oocyst wall protein 8,1457600.0,715450.0,526430.0,2286700000.0,2885200000.0,3313800000.0,566800000.0,480080000.0,490100000.0,5661300000.0,6165500000.0,6153300000.0,9.368061766548479,-0.0,SP(Sec/SPI),0.971491,0.028508999999999996,CS pos: 22-23. CYA-GD. Pr: 0.9349
cgd6_2090-RA-p1,2,12091.14957,0.0,-,3.0457574905606752,4.0824675935136705,-12091.14957,Growth factor receptor cysteine-rich domain containing protein,1228900.0,477260.0,498550.0,4166700000.0,5380200000.0,6371700000.0,2618700000.0,2891100000.0,2718300000.0,19114000000.0,19100000000.0,20097000000.0,9.837061582550808,-0.0,SP(Sec/SPI),0.9949610000000001,0.005039,CS pos: 15-16. AFG-AP. Pr: 0.6177
cgd2_490-RA-p1,3,6573.067891,0.0,-,3.0457574905606752,3.8177681179846736,-6573.067891,Uncharacterized protein,1352800.0,1206500.0,460790.0,721250000.0,540050000.0,1047600000.0,387500000.0,536670000.0,320110000.0,4175500000.0,3829000000.0,2868800000.0,9.080070039175096,-0.0,SP(Sec/SPI),0.9418479999999999,0.058151999999999995,CS pos: 25-26. VKS-QK. Pr: 0.7943
cgd3_190-RA-p1,4,4506.0409,0.0,-,3.0457574905606752,3.653795129368215,-4506.0409,Fibrillin/EGF-like calcium-binding conserved site-containing protein,565220.0,749990.0,565700.0,262340000.0,301130000.0,421550000.0,299660000.0,304400000.0,313420000.0,2356900000.0,2523100000.0,2119300000.0,8.870388341317954,-0.0,SP(Sec/SPI),0.831117,0.168883,CS pos: 25-26. IFA-SD. Pr: 0.7690
cgd2_1120-RA-p1,5,3742.927033,0.0,+,3.0457574905606752,-3.573211360784114,3742.927033,molybdopterin synthase sulphurylase/Rhodanese-like domain containing protein,1524600.0,950640.0,592390.0,120160.0,60860.0,184750.0,13390000.0,12198000.0,14962000.0,70341.0,71866.0,43886.0,6.5659411681855,-0.0,OTHER,0.004490999999999999,0.995509,
cgd6_210-RA-p1,6,3629.733883,0.0,-,3.0457574905606752,3.559874785537157,-3629.733883,Oocyst wall protein 9,0.0,0.0,0.0,947150.0,1254200.0,2364900.0,432470.0,53052.0,82035.0,13594000.0,13372000.0,14279000.0,6.587138327060282,-0.0,SP(Sec/SPI),0.985553,0.014447,CS pos: 22-23. SQC-NI. Pr: 0.7051
cgd7_850-RA-p1,7,3296.2773429999997,0.0,-,3.0457574905606752,3.518023745339152,-3296.2773429999997,Patched family protein/Sterol-sensing domain-containing protein,10002.0,47641.0,0.0,6548300.0,9711300.0,11521000.0,8269500.0,6235100.0,6995400.0,79326000.0,85863000.0,83090000.0,7.394476843201271,-0.0,OTHER,0.0024980000000000002,0.997502,
cgd2_2510-RA-p1,8,3243.6546719999997,0.0,-,3.0457574905606752,3.511034611868379,-3243.6546719999997,Glucose-methanol-choline oxidoreductase,0.0,0.0,0.0,171360.0,270570.0,529450.0,27706.0,43582.0,60647.0,7180500.0,7550100.0,6867600.0,6.276873595030302,-0.0,SP(Sec/SPI),0.8539329999999999,0.146067,CS pos: 16-17. LNA-LR. Pr: 0.4095
cgd3_3410-RA-p1,9,3034.863336,0.0,+,3.0457574905606752,-3.482139138983792,3034.863336,Uncharacterized protein,94899.0,243520.0,111460.0,4070.6,4886.6,5220.2,5019000.0,3313900.0,2744500.0,75101.0,68924.0,28497.0,5.989523172827392,-0.0,OTHER,0.0007019999999999999,0.9992979999999999,
cgd6_5260-RA-p1,10,2989.825803,0.0,+,3.0457574905606752,-3.4756458856489414,2989.825803,ABC transporter ATpase with 2 AAA domains,544710.0,466320.0,301230.0,18661.0,20837.0,26679.0,7282900.0,5192300.0,5644500.0,48621.0,87996.0,74792.0,6.215495374580595,-0.0,OTHER,0.000429,0.9995709999999999,
cgd6_2470-RA-p1,11,2927.689021,0.0,-,3.0457574905606752,3.466524944095275,-2927.689021,Sulfhydryl oxidase,12433.0,85328.0,52120.0,2122900.0,3639000.0,4065800.0,5971800.0,5637000.0,5404600.0,48068000.0,53521000.0,53349000.0,7.180720640953401,-0.0,OTHER,0.000349,0.9996510000000001,
