,id,rank,FDR,sign,log_FDR,log_rank,srank,desc,log_sum,Prediction,SP(Sec/SPI),OTHER,CS Position,TM,SP,PREDICTION,Gene_id,Gene_acc,SignedRank,log10iBAQ,Desc,t_gondii_ortho,p_falciparum,p_falciparum_ortho,n_caninum_ortho
cgd1_800-RA-p1,1,93.85720699999999,0.01,+,1.9625735020593764,1.9724676263463699,93.85720699999999,Protein disulfide isomerase,8.106945929963517,SP(Sec/SPI),0.752807,0.247193,CS pos: 20-21. SFG-FG. Pr: 0.3440,0,Y,n4-15c22/23o,cgd1_800-RA-p1,1,93.85720699999999,8.106945929963517,Protein disulfide isomerase,True,False,True,True
cgd7_5150-RA-p1,2,67.279057,0.04,+,1.3882766919926581,1.8278798956530167,67.279057,Chitin-binding type-2 domain containing protein,7.623758536332682,SP(Sec/SPI),0.985015,0.014985,CS pos: 23-24. SVS-QF. Pr: 0.5453,0,Y,n7-18c23/24o,cgd7_5150-RA-p1,2,67.279057,7.623758536332682,Chitin-binding type-2 domain containing protein,True,False,False,True
cgd6_4840-RA-p1,3,65.097189,0.04,+,1.3882766919926581,1.8135622354476646,65.097189,"Serine protease, subtilase family, signal peptide",7.598579443427431,SP(Sec/SPI),0.744158,0.255842,CS pos: 23-24. VIC-NI. Pr: 0.6951,0,Y,n9-17c23/24o,cgd6_4840-RA-p1,3,65.097189,7.598579443427431,"Serine protease, subtilase family, signal peptide",True,False,False,False
cgd6_2090-RA-p1,4,62.289538,0.04,+,1.3882766919926581,1.7944151097343959,62.289538,Growth factor receptor cysteine-rich domain containing protein,10.226054000320948,SP(Sec/SPI),0.9949610000000001,0.005039,CS pos: 15-16. AFG-AP. Pr: 0.6177,0,Y,n4-11c15/16o,cgd6_2090-RA-p1,4,62.289538,10.226054000320948,Growth factor receptor cysteine-rich domain containing protein,False,False,False,False
cgd4_3090-RA-p1,5,56.644123,0.04,+,1.3882766919926581,1.7531548571637137,56.644123,Oocyst wall protein 6,8.266197208982305,SP(Sec/SPI),0.9990959999999999,0.000904,CS pos: 22-23. VNA-QH. Pr: 0.9612,0,Y,n4-15c22/23o,cgd4_3090-RA-p1,5,56.644123,8.266197208982305,Oocyst wall protein 6,True,False,False,True
cgd8_600-RA-p1,6,55.154359,0.04,+,1.3882766919926581,1.7415798416145887,55.154359,"Serine aminopeptidase, S33",7.57838403953195,OTHER,0.468104,0.531896,,0,Y,n7-18c23/24o,cgd8_600-RA-p1,6,55.154359,7.57838403953195,"Serine aminopeptidase, S33",False,False,True,False
cgd7_4560-RA-p1,7,53.858537,0.04,+,1.3882766919926581,1.7312545521676472,53.858537,Sushi/SCR/CCP/SbsA/lg-like domain containing protein,7.561190806493592,SP(Sec/SPI),0.8115180000000001,0.18848199999999998,CS pos: 28-29. VRS-NL. Pr: 0.6601,2,0,i12-30o2941-2963i,cgd7_4560-RA-p1,7,53.858537,7.561190806493592,Sushi/SCR/CCP/SbsA/lg-like domain containing protein,True,False,False,True
cgd7_850-RA-p1,8,52.503351,0.04,+,1.3882766919926581,1.720187022917677,52.503351,Patched family protein/Sterol-sensing domain-containing protein,7.745729638371143,OTHER,0.0024980000000000002,0.997502,,11,0,o397-417i429-450o462-480i501-524o530-553i905-932o1128-1145i1152-1173o1185-1206i1218-1242o1254-1277i,cgd7_850-RA-p1,8,52.503351,7.745729638371143,Patched family protein/Sterol-sensing domain-containing protein,True,False,False,True
cgd6_200-RA-p1,9,48.909501,0.04,+,1.3882766919926581,1.6893932319471876,48.909501,Oocyst wall protein 8,9.665410949735136,SP(Sec/SPI),0.971491,0.028508999999999996,CS pos: 22-23. CYA-GD. Pr: 0.9349,0,Y,n10-18c22/23o,cgd6_200-RA-p1,9,48.909501,9.665410949735136,Oocyst wall protein 8,False,False,False,False
cgd3_190-RA-p1,10,47.503254999999996,0.04,+,1.3882766919926581,1.6767233692060335,47.503254999999996,Fibrillin/EGF-like calcium-binding conserved site-containing protein,9.180822801982426,SP(Sec/SPI),0.831117,0.168883,CS pos: 25-26. IFA-SD. Pr: 0.7690,0,Y,n9-20c25/26o,cgd3_190-RA-p1,10,47.503254999999996,9.180822801982426,Fibrillin/EGF-like calcium-binding conserved site-containing protein,False,False,False,False
cgd6_2470-RA-p1,11,46.831046,0.04,+,1.3882766919926581,1.6705338581227764,46.831046,Sulfhydryl oxidase,7.495900368546989,OTHER,0.000349,0.9996510000000001,,2,0,i30-52o624-642i,cgd6_2470-RA-p1,11,46.831046,7.495900368546989,Sulfhydryl oxidase,False,False,False,True
cgd8_5090-RA-p1,12,45.649063,0.04,+,1.3882766919926581,1.659431867563507,45.649063,Uncharacterized protein,7.593456353882251,OTHER,0.000475,0.999525,,1,0,i44-65o,cgd8_5090-RA-p1,12,45.649063,7.593456353882251,Uncharacterized protein,False,False,False,False
cgd3_3700-RA-p1,13,39.920146,0.062310000000000004,+,1.1992142096722374,1.601192120963991,39.920146,Uncharacterized protein,6.396988237988241,OTHER,0.369615,0.6303850000000001,,1,0,i7-26o,cgd3_3700-RA-p1,13,39.920146,6.396988237988241,Uncharacterized protein,False,False,False,False
cgd6_300-RA-p1,14,39.351815,0.06429,+,1.185819018959813,1.5949647678591625,39.351815,Uncharacterized protein,7.930354163222555,OTHER,0.0011279999999999999,0.998872,,0,0,o,cgd6_300-RA-p1,14,39.351815,7.930354163222555,Uncharacterized protein,False,False,False,False
cgd2_3320-RA-p1,15,38.635797,0.06429,+,1.185819018959813,1.586989875533602,38.635797,Papain family cysteine protease,7.086642623295687,SP(Sec/SPI),0.8228040000000001,0.177196,CS pos: 32-33. ISS-DL. Pr: 0.7332,0,Y,n16-27c32/33o,cgd2_3320-RA-p1,15,38.635797,7.086642623295687,Papain family cysteine protease,True,False,True,True
cgd2_2510-RA-p1,16,34.095415,0.09938,+,0.9987856747138211,1.5326959809256329,34.095415,Glucose-methanol-choline oxidoreductase,6.572177802842336,SP(Sec/SPI),0.8539329999999999,0.146067,CS pos: 16-17. LNA-LR. Pr: 0.4095,0,Y,n4-14c18/19o,cgd2_2510-RA-p1,16,34.095415,6.572177802842336,Glucose-methanol-choline oxidoreductase,True,False,False,True
cgd7_2070-RA-p1,17,32.944376,0.10412,-,0.9787279860489618,-1.5177812859821074,-32.944376,Uncharacterized Protein,7.06587399919323,SP(Sec/SPI),0.783812,0.21618800000000002,CS pos: 26-27. VYG-TK. Pr: 0.6948,1,0,i7-26o,cgd7_2070-RA-p1,17,-32.944376,7.06587399919323,Uncharacterized Protein,False,False,False,False
cgd6_1450-RA-p1,18,32.31537,0.10778,+,0.9638503702541469,1.5094091328113262,32.31537,Polysaccharide pyruvyl transferase with Fringe-like domain,8.433626511761592,SP(Sec/SPI),0.825723,0.174277,CS pos: 22-23. TNS-ST. Pr: 0.5659,0,Y,n8-19c24/25o,cgd6_1450-RA-p1,18,32.31537,8.433626511761592,Polysaccharide pyruvyl transferase with Fringe-like domain,False,False,False,False
cgd6_4440-RA-p1,19,31.897522,0.10778,+,0.9638503702541469,1.5037569456425306,31.897522,Uncharacterized protein,7.370500444851414,OTHER,0.00037799999999999997,0.9996219999999999,,1,0,i41-64o,cgd6_4440-RA-p1,19,31.897522,7.370500444851414,Uncharacterized protein,False,False,False,False
cgd6_210-RA-p1,20,31.38707,0.10778,+,0.9638503702541469,1.4967507759668914,31.38707,Oocyst wall protein 9,6.897781632312245,SP(Sec/SPI),0.985553,0.014447,CS pos: 22-23. SQC-NI. Pr: 0.7051,0,Y,n3-14c22/23o,cgd6_210-RA-p1,20,31.38707,6.897781632312245,Oocyst wall protein 9,False,False,False,False
cgd4_670-RA-p1,21,31.280965999999996,0.10778,+,0.9638503702541469,1.4952801562161875,31.280965999999996,Oocyst wall protein 3,8.43198875190771,SP(Sec/SPI),0.985217,0.014783000000000001,CS pos: 25-26. VSA-NG. Pr: 0.5284,0,Y,n6-17c25/26o,cgd4_670-RA-p1,21,31.280965999999996,8.43198875190771,Oocyst wall protein 3,False,False,False,False
cgd7_1800-RA-p1,22,29.603129,0.11727,+,0.9274927644711958,1.4713376176675281,29.603129,Chitin-binding type-2 domain containing protein,7.174728333311894,OTHER,0.287464,0.712536,,1,0,i20-40o,cgd7_1800-RA-p1,22,29.603129,7.174728333311894,Chitin-binding type-2 domain containing protein,False,False,False,False
cgd6_4640-RA-p1,23,28.270684999999997,0.12825999999999999,+,0.888871963654876,1.4513363315923125,28.270684999999997,Uncharacterized protein,6.857245829950274,SP(Sec/SPI),0.72992,0.27008000000000004,CS pos: 22-23. NQA-TV. Pr: 0.3169,0,0,o,cgd6_4640-RA-p1,23,28.270684999999997,6.857245829950274,Uncharacterized protein,False,False,False,False
cgd6_670-RA-p1,24,26.321046000000003,0.15583,+,0.8048478664067129,1.4203031441744998,26.321046000000003,"Aspartic acid and asparagine hydroxylation/Peptidase C11, clostripain domain contining protein",6.360171661746274,OTHER,0.496705,0.5032949999999999,,2,0,i7-28o1528-1555i,cgd6_670-RA-p1,24,26.321046000000003,6.360171661746274,"Aspartic acid and asparagine hydroxylation/Peptidase C11, clostripain domain contining protein",False,False,False,True
cgd3_1540-RA-p1,25,26.260156,0.15583,+,0.8048478664067129,1.4192973017130166,26.260156,Signal peptide containing protein,8.69793217673608,SP(Sec/SPI),0.9785530000000001,0.021447,CS pos: 20-21. TLS-EP. Pr: 0.8293,0,Y,n6-15c20/21o,cgd3_1540-RA-p1,25,26.260156,8.69793217673608,Signal peptide containing protein,False,False,False,False
cgd8_3350-RA-p1,26,26.198047,0.15583,+,0.8048478664067129,1.4182689169404656,26.198047,Oocyst wall protein 4,8.275893364419877,SP(Sec/SPI),0.958276,0.041724000000000004,CS pos: 17-18. SSS-RD. Pr: 0.5117,0,Y,n6-13c17/18o,cgd8_3350-RA-p1,26,26.198047,8.275893364419877,Oocyst wall protein 4,False,False,False,False
cgd8_4230-RA-p1,27,25.56234,0.15583,+,0.8048478664067129,1.4076006070204803,25.56234,Glucose-methanol-choline oxidoreductase,7.195442988263319,OTHER,0.45423900000000006,0.5457609999999999,,0,Y,n12-22c29/30o,cgd8_4230-RA-p1,27,25.56234,7.195442988263319,Glucose-methanol-choline oxidoreductase,False,False,False,False
cgd2_3660-RA-p1,28,24.898737,0.15964,+,0.794416741359246,1.3961773178651251,24.898737,Subtilase family,6.455750346398536,SP(Sec/SPI),0.944941,0.055059000000000004,CS pos: 20-21. VRS-QN. Pr: 0.9072,1,Y,n5-16c20/21o443-467i,cgd2_3660-RA-p1,28,24.898737,6.455750346398536,Subtilase family,False,False,False,False
cgd6_2920-RA-p1,29,24.30903,0.1669,+,0.7752080435073185,1.3857676295939656,24.30903,Uncharacterized protein,7.256779863761431,OTHER,0.001277,0.9987229999999999,,1,0,o15-36i,cgd6_2920-RA-p1,29,24.30903,7.256779863761431,Uncharacterized protein,False,False,False,False
cgd7_3110-RA-p1,30,23.778398000000003,0.17267000000000002,+,0.7605253365348158,1.3761825919480977,23.778398000000003,S1/P1 nuclease,6.811095542916726,SP(Sec/SPI),0.9508409999999999,0.049158999999999994,CS pos: 22-23. VLA-FD. Pr: 0.6857,1,Y,n2-17c22/23o363-382i,cgd7_3110-RA-p1,30,23.778398000000003,6.811095542916726,S1/P1 nuclease,True,False,True,True
cgd5_3980-RA-p1,31,22.478554000000003,0.2,+,0.6970200632517508,1.3517683705082755,22.478554000000003,Uncharacterized protein,6.095582229046026,OTHER,0.0012380000000000002,0.998762,,1,0,o60-81i,cgd5_3980-RA-p1,31,22.478554000000003,6.095582229046026,Uncharacterized protein,False,False,False,True
